user_id,order_id,reg_date,transaction_date,revenue
28421,-24519,2014-09-17,2015-01-08,910
36438,89387,2014-05-02,2015-08-01,1094
67723,148181,2014-12-08,2015-02-14,1024
51662,36974,2015-09-08,2015-09-09,939
48256,96369,2014-05-14,2015-09-29,730
79558,132308,2014-02-09,2015-09-29,844
73930,113585,2015-10-25,2015-11-03,1082
34927,80678,2014-12-29,2015-03-11,1236
52681,82263,2014-08-10,2015-06-15,1265
26760,40876,2014-02-05,2015-11-15,1459
43142,83632,2015-01-13,2015-07-16,1181
76613,118500,2014-01-26,2015-02-13,488
56398,79353,2015-05-21,2015-07-24,664
91403,8674,2014-12-14,2015-11-15,1142
64501,50356,2015-06-30,2015-08-20,644
59098,-8642,2014-09-21,2015-02-01,957
92194,89293,2015-04-26,2015-05-24,1059
43554,260813,2015-07-07,2015-10-25,712
29767,89030,2014-07-23,2015-09-29,1104
75910,109330,2015-01-20,2015-01-22,854
50778,204777,2014-07-26,2015-01-29,1267
67347,123908,2013-05-31,2015-06-16,907
23470,120606,2014-05-12,2015-03-29,1060
53832,164129,2014-10-18,2015-09-25,1333
67064,95723,2014-12-14,2015-05-30,1501
53146,70405,2015-04-18,2015-09-10,346
54371,23279,2013-11-12,2015-07-18,1194
33449,58746,2014-12-18,2015-07-04,1211
77668,78783,2013-06-11,2015-10-23,735
26631,112466,2015-10-23,2015-10-23,930
70021,171033,2015-03-08,2015-07-23,838
50955,56949,2014-06-29,2015-01-30,860
33191,15829,2014-09-17,2015-06-18,976
7395,180844,2014-11-21,2015-08-10,1111
105464,81892,2015-09-26,2015-10-10,865
-7670,84002,2015-02-09,2015-02-22,808
27937,48153,2013-08-06,2015-05-02,1306
72355,31778,2015-05-15,2015-05-17,1110
14757,58263,2015-02-01,2015-03-04,982
87991,150262,2015-05-16,2015-08-19,1212
88790,133298,2015-01-13,2015-07-05,588
50596,116811,2015-07-07,2015-07-29,984
34787,146960,2015-03-23,2015-08-02,1044
76274,181673,2013-05-02,2015-07-21,656
48099,124132,2013-10-12,2015-01-31,599
59266,145719,2015-05-04,2015-07-03,754
36809,106813,2013-12-13,2015-05-09,1328
71283,4929,2014-12-08,2015-02-18,964
47582,167286,2013-04-13,2015-07-12,1086
10868,25972,2015-03-02,2015-09-26,1040
53902,109324,2014-07-31,2015-09-04,1251
29463,164848,2015-09-27,2015-10-11,1016
85533,35751,2014-12-16,2015-05-20,1202
20454,38891,2015-04-15,2015-04-15,1141
69616,144479,2014-10-20,2015-08-10,1263
51703,39642,2013-10-05,2015-04-12,700
49709,128772,2013-04-30,2015-07-04,1017
39008,66649,2014-11-02,2015-04-03,1289
69104,31571,2015-07-30,2015-08-08,1010
22573,39768,2013-08-06,2015-08-18,1431
70540,136496,2015-04-12,2015-08-30,903
56329,-20174,2015-09-05,2015-09-07,1607
-4741,141322,2015-06-15,2015-10-07,728
46155,181691,2014-07-22,2015-03-06,732
73585,115936,2015-08-17,2015-08-19,1269
41246,47478,2014-12-01,2015-10-26,1289
88205,187370,2015-02-09,2015-10-19,1169
50633,109982,2015-10-10,2015-10-27,952
85979,68556,2014-04-23,2015-11-15,797
18149,145187,2013-03-11,2015-09-09,630
22422,109157,2015-04-23,2015-04-23,1041
51887,100886,2014-12-13,2015-03-30,878
64984,112547,2015-01-28,2015-05-25,726
55912,51806,2015-08-29,2015-09-28,819
29940,155167,2015-07-02,2015-07-02,851
42646,118726,2012-06-02,2015-04-25,1069
81046,171276,2015-07-08,2015-08-27,1085
58815,108482,2014-01-23,2015-09-30,1375
82512,99097,2015-02-23,2015-07-27,791
53993,53376,2015-05-11,2015-05-11,1290
59818,87937,2015-02-07,2015-05-07,1425
77369,110299,2014-02-13,2015-06-08,742
12430,109539,2013-11-15,2015-01-26,950
43437,47765,2015-04-02,2015-04-09,1304
11264,75108,2015-04-30,2015-06-20,1074
54348,101935,2015-01-20,2015-06-20,1050
47421,92624,2014-10-09,2015-06-12,1183
47008,90622,2014-05-30,2015-02-20,1188
7290,83571,2014-11-02,2015-05-02,1267
38543,75144,2014-10-25,2015-09-23,1162
61249,89224,2014-11-09,2015-09-13,1421
14517,91269,2015-01-11,2015-09-12,1126
59233,159946,2015-11-06,2015-11-08,803
30570,111250,2015-07-02,2015-09-09,1101
61318,109126,2014-08-21,2015-02-08,933
54838,94123,2015-05-23,2015-10-06,771
76637,98321,2014-09-13,2015-08-20,992
75494,45777,2014-01-30,2015-06-04,1489
85892,38244,2014-06-18,2015-03-31,1406
78540,48471,2015-05-21,2015-07-10,976
21166,132312,2015-10-24,2015-11-15,997
28942,118924,2012-10-13,2015-02-26,1065
58900,124773,2014-09-09,2015-09-22,865
43321,162273,2014-06-20,2015-06-13,993
21924,129056,2015-03-21,2015-08-17,1339
41339,102387,2014-11-26,2015-02-05,1240
48662,-6061,2013-12-30,2015-07-05,753
59823,145548,2013-05-19,2015-07-01,1077
64882,22796,2015-04-24,2015-06-07,733
30337,93481,2013-09-10,2015-09-22,994
71806,78615,2014-10-16,2015-10-22,870
74316,99925,2015-06-19,2015-11-02,1080
68871,33450,2013-11-23,2015-02-04,667
58626,153061,2013-12-10,2015-02-12,1005
55633,69939,2014-11-25,2015-05-14,1279
58848,68321,2014-12-05,2015-06-14,1248
6857,65287,2014-10-27,2015-08-27,845
35250,122463,2015-07-18,2015-09-13,1235
37330,221302,2013-11-06,2015-04-21,838
54895,233213,2015-02-13,2015-08-19,844
38719,66434,2015-04-22,2015-09-22,848
51506,28150,2015-03-22,2015-10-07,470
37813,168913,2012-07-01,2015-05-03,1206
65011,133716,2014-02-11,2015-04-06,1022
28176,173650,2013-10-03,2015-01-27,835
60660,92271,2015-04-11,2015-04-25,1131
73908,86359,2013-08-29,2015-05-28,1035
80377,156907,2013-10-10,2015-01-23,1264
29765,92748,2015-01-27,2015-11-15,929
70996,77986,2013-02-02,2015-02-23,1183
55040,98840,2013-07-11,2015-05-16,635
36712,101563,1900-01-01,2015-03-16,730
58862,132512,2015-04-29,2015-08-06,758
14723,123447,2015-01-05,2015-09-18,887
59881,107442,2014-08-05,2015-09-25,1320
40283,70708,2013-04-13,2015-07-30,1179
15321,171641,2015-03-08,2015-09-06,1017
56238,138529,2015-01-31,2015-07-19,1095
69460,130475,2014-09-01,2015-04-27,978
52251,113494,2015-01-06,2015-02-07,1056
30626,170426,2014-08-01,2015-07-27,605
74183,108658,2015-02-05,2015-10-22,818
17127,128145,2015-08-06,2015-08-24,1206
68607,171328,2014-12-27,2015-06-27,1143
73932,134950,2015-07-29,2015-08-20,355
41894,81746,2014-09-23,2015-09-25,1554
43363,25741,2014-08-07,2015-03-13,1265
67163,181544,2013-04-22,2015-10-03,1263
45726,98851,2013-12-25,2015-03-29,649
101437,60919,2014-11-28,2015-11-05,1344
64702,53260,2015-05-29,2015-09-19,1502
59876,140696,2013-07-20,2015-08-05,1387
34937,118076,2013-12-28,2015-09-28,1115
24017,79620,2015-04-13,2015-07-09,1009
58717,149573,2015-08-10,2015-08-12,1091
41021,25655,2015-08-09,2015-09-13,1178
34494,56976,2015-09-05,2015-09-05,955
58445,33047,2015-09-11,2015-11-17,923
45927,69358,2015-09-27,2015-10-07,915
75281,140452,2014-05-27,2015-09-14,1151
56892,86586,2014-06-26,2015-04-30,991
39638,136707,2014-09-07,2015-10-12,692
42673,27109,2015-03-28,2015-05-23,1148
85028,72956,2015-07-26,2015-11-18,772
44924,153226,2014-01-17,2015-07-20,1205
72298,104536,2015-01-27,2015-04-09,1172
46279,-1517,2015-04-29,2015-07-19,829
13984,-9566,2013-03-18,2015-06-23,1165
61994,133910,2014-12-18,2015-05-24,1256
55104,97416,2013-10-01,2015-08-25,1601
25520,130656,2015-04-27,2015-05-13,1041
54075,177328,2015-04-17,2015-07-14,970
75705,80837,2015-03-09,2015-06-07,1033
63547,112570,2013-05-13,2015-09-19,824
72348,59014,2015-06-21,2015-08-10,879
50156,131791,2015-10-25,2015-10-25,648
37312,125955,2015-05-15,2015-10-11,1010
50798,-16115,2015-08-25,2015-08-28,904
49344,39469,2013-10-10,2015-04-21,864
82087,164753,2014-12-19,2015-02-18,341
45429,142322,2015-06-10,2015-08-05,1300
52720,91783,2014-09-06,2015-02-15,933
60320,80700,2013-12-23,2015-09-16,1133
77593,131607,2015-05-29,2015-07-02,1096
57996,101917,2014-07-17,2015-07-02,864
40633,93962,2013-09-28,2015-02-16,933
60187,34489,2015-07-01,2015-07-08,916
54301,82258,2015-05-09,2015-05-27,1077
59881,111591,2014-05-13,2015-01-23,1176
61092,133578,2015-10-30,2015-11-13,847
37721,128786,2014-10-16,2015-08-02,1308
49954,75889,2015-10-29,2015-10-31,947
63337,71206,2015-05-03,2015-07-25,1136
27465,16930,2013-12-24,2015-09-25,944
30058,23775,2014-10-14,2015-05-23,1057
58396,86521,2014-08-15,2015-06-21,1074
45927,160995,2015-06-15,2015-11-19,1583
37274,121454,2014-10-24,2015-07-31,895
92280,150652,2015-09-03,2015-10-25,810
59450,182774,2014-02-07,2015-11-14,1008
46194,128987,2015-10-29,2015-11-02,965
68006,99716,2013-07-25,2015-07-25,1231
70681,27687,2014-06-20,2015-07-11,812
45906,111244,2015-01-24,2015-06-07,793
66026,151910,2015-01-22,2015-05-18,1052
88783,91235,2012-08-17,2015-11-07,1207
15509,159589,2015-09-03,2015-10-20,866
82621,43352,2015-11-17,2015-11-17,949
79443,99416,2014-10-03,2015-02-03,1362
39828,51920,2015-10-16,2015-10-16,1072
42407,94957,2014-11-02,2015-10-31,1271
79567,105640,2015-07-07,2015-08-16,1049
37457,189178,2015-02-13,2015-04-15,1073
48460,85844,2013-12-09,2015-04-13,693
41157,137596,2014-10-15,2015-04-14,1281
32572,81046,2013-12-19,2015-04-20,974
64693,159671,2015-01-16,2015-07-03,960
17646,164703,2015-01-17,2015-03-04,758
65896,137025,2014-12-11,2015-06-14,971
23489,145577,2014-12-05,2015-09-07,1483
45578,184846,2015-08-12,2015-08-18,1488
39466,94836,2015-03-14,2015-03-14,1465
21461,89635,2013-09-09,2015-02-01,1499
21772,118765,2012-09-22,2015-09-03,1624
30258,26027,2015-10-09,2015-11-04,832
76980,27810,2014-07-24,2015-04-06,1219
49657,76929,2013-10-12,2015-03-30,904
50345,164819,2013-11-23,2015-05-21,224
37048,129727,2015-11-04,2015-11-14,911
66802,139077,2013-12-29,2015-03-06,910
44337,64227,2015-03-01,2015-05-20,929
88878,103455,2015-08-06,2015-11-15,951
41007,132759,2014-04-09,2015-03-28,893
30647,108363,2014-10-12,2015-03-03,852
40300,109383,2015-07-01,2015-11-06,994
52993,142342,2014-10-30,2015-09-08,1380
38437,94000,2014-12-14,2015-04-18,1455
29372,68428,2015-07-15,2015-09-11,1010
58414,58734,2015-06-04,2015-09-25,1019
44726,-15347,2012-06-17,2015-05-30,635
33237,22356,2012-05-31,2015-08-25,1216
21912,141077,2015-07-01,2015-11-19,615
74636,46670,2014-12-11,2015-10-01,931
74033,-23014,2015-03-28,2015-05-13,819
61368,112342,2015-10-19,2015-10-19,1207
69983,84342,2015-04-16,2015-10-19,866
12449,64385,2012-10-18,2015-02-10,1123
43244,131343,2014-04-28,2015-10-28,942
37763,147269,2014-11-29,2015-02-09,1028
85281,176098,2014-01-16,2015-11-17,891
41794,42979,2014-05-31,2015-04-10,816
65426,141940,2014-04-22,2015-10-05,809
33315,41760,2015-08-14,2015-08-14,1531
33237,57569,2014-04-22,2015-11-02,1026
38626,99731,2015-04-04,2015-11-05,1211
93688,201138,2013-07-01,2015-07-03,1042
69887,215146,2015-07-11,2015-09-30,1063
-16994,22456,2015-06-13,2015-07-25,878
11196,101672,2015-07-14,2015-10-06,884
55106,83815,2015-03-27,2015-11-10,1001
57345,35427,2015-03-19,2015-09-26,1555
41352,200269,2014-09-12,2015-07-26,1373
43769,6109,2014-09-01,2015-11-14,956
52389,157356,2014-06-09,2015-03-09,887
28988,136365,2015-07-31,2015-08-08,1052
49374,91357,2015-03-21,2015-03-22,947
49845,55463,2015-06-19,2015-11-16,1198
52406,85512,2015-01-09,2015-10-07,1299
72381,99160,2014-07-05,2015-11-15,905
30416,167612,2014-03-07,2015-06-30,674
34083,65159,2015-04-22,2015-11-01,780
47126,102745,2015-06-08,2015-06-16,870
61862,119972,2015-09-07,2015-09-11,1095
58040,126589,2015-03-31,2015-05-23,1124
43032,35167,2015-06-29,2015-10-30,850
49077,97890,2015-08-11,2015-08-28,1289
42546,118337,2015-05-01,2015-05-01,541
55147,132116,2014-12-13,2015-05-03,1137
51052,74130,2015-06-28,2015-08-27,1247
55885,10982,2013-05-01,2015-03-10,1223
41886,70908,2015-07-09,2015-07-12,993
45360,134936,2012-03-01,2015-02-06,826
58409,122415,2014-08-31,2015-03-19,949
30885,123801,2015-10-03,2015-11-09,489
42280,29473,2012-08-12,2015-05-24,589
95021,160312,2012-06-07,2015-11-17,1090
49279,64411,2015-05-16,2015-08-25,1026
30886,41830,2013-02-07,2015-10-05,1238
19797,146191,2014-12-05,2015-07-28,1202
26072,96530,2015-09-26,2015-10-22,1563
75977,175366,2014-12-20,2015-07-30,1279
39063,90811,2013-02-17,2015-06-18,1260
32995,135707,2015-10-07,2015-10-08,1061
60808,52757,2015-08-31,2015-10-04,1040
63755,159275,2012-09-22,2015-10-24,506
90243,165542,2015-02-10,2015-10-10,753
31814,126973,2015-07-13,2015-11-07,682
53022,107603,2013-04-11,2015-02-28,1040
-6927,157109,2015-02-07,2015-06-12,727
57274,37834,2015-01-28,2015-06-30,937
43917,74257,2015-07-21,2015-09-13,1183
51449,139423,2014-10-20,2015-06-27,1325
37802,197806,2015-10-10,2015-10-10,1104
42674,52958,2015-03-27,2015-10-14,1258
16349,34625,2015-07-18,2015-07-19,918
12408,28941,2015-11-09,2015-11-10,1107
46627,58470,2014-09-15,2015-08-22,1044
35988,63018,2015-08-01,2015-08-18,790
1192,93250,2014-12-28,2015-09-24,1142
86180,64132,2015-10-31,2015-11-02,1291
52083,98064,2015-02-21,2015-04-08,1079
54076,117469,2015-10-25,2015-10-25,1089
41603,122392,2015-09-28,2015-09-29,1410
81822,37564,2014-04-20,2015-10-27,960
68710,63448,2015-01-31,2015-03-07,1229
54324,84128,2015-03-22,2015-10-09,873
41409,154402,2014-08-08,2015-06-12,1253
14772,159133,2014-05-21,2015-11-12,1128
49423,180957,2013-08-19,2015-04-13,679
47575,-9608,2014-07-07,2015-09-12,346
69874,60032,2015-07-03,2015-08-18,797
70577,136193,2014-06-25,2015-10-04,494
83635,111093,2015-03-25,2015-10-02,1284
54391,140248,2014-12-16,2015-08-13,631
57726,148910,2013-11-29,2015-10-07,918
44338,28611,2014-08-07,2015-07-06,913
54076,218673,2013-09-28,2015-06-03,1138
66728,175207,2013-11-12,2015-09-24,909
50385,154752,2015-07-17,2015-11-11,914
38439,-6819,2015-07-22,2015-08-08,933
40326,115682,2015-06-13,2015-09-11,1013
62234,159720,2014-12-01,2015-08-08,980
50245,33460,2013-03-13,2015-03-13,597
65155,10011,2015-02-07,2015-09-26,810
67334,64888,2015-04-12,2015-06-02,896
53025,133838,2014-02-11,2015-10-21,935
44061,120402,2015-09-05,2015-09-26,1381
53942,106209,2014-11-01,2015-01-16,862
41066,155437,2015-03-20,2015-03-20,933
65883,89925,2012-04-26,2015-07-13,1166
45941,89846,2015-01-11,2015-02-28,1155
49404,112066,2015-08-03,2015-09-11,272
65411,93015,2015-03-06,2015-10-28,1230
30740,118891,2015-07-04,2015-08-04,806
38953,71086,2012-03-22,2015-01-06,869
96693,53195,2013-12-26,2015-08-30,1095
43292,111240,2015-03-06,2015-08-14,995
67195,110246,2015-07-08,2015-07-30,1153
66237,-9313,2014-06-22,2015-05-21,991
36398,209278,2015-07-19,2015-07-21,1066
93130,126296,2015-10-16,2015-11-08,899
57295,117104,2014-08-24,2015-05-30,972
33917,98209,2015-07-13,2015-08-17,1068
26171,49478,2014-02-08,2015-11-05,937
53364,118586,2012-05-07,2015-04-11,1134
55467,185687,2015-01-17,2015-02-26,1255
51195,100595,2015-08-08,2015-08-08,1455
34861,88307,2014-10-22,2015-06-30,893
50520,101035,2015-05-27,2015-09-16,1199
87133,97104,2015-07-14,2015-10-09,858
70571,46490,2015-01-08,2015-04-25,1038
30791,87492,2015-02-28,2015-05-04,1083
36938,112132,2013-09-05,2015-06-22,1053
71844,31057,2013-11-03,2015-07-04,1033
74102,140065,2015-07-13,2015-07-13,454
44469,77325,2014-01-01,2015-07-19,552
36514,36075,2015-06-27,2015-11-14,696
46174,90249,2014-11-11,2015-10-17,1286
49134,165290,2013-03-21,2015-03-29,658
65199,41677,2014-08-14,2015-10-25,983
74094,83886,2014-06-20,2015-10-24,1386
47736,121334,2015-09-14,2015-09-17,1392
49441,74306,2013-05-02,2015-04-26,834
38413,7088,2015-01-27,2015-09-13,910
45023,120017,2014-11-08,2015-06-29,1062
33353,132278,2015-01-27,2015-02-21,1668
54055,2686,2015-08-14,2015-08-14,1012
38044,184340,2015-07-11,2015-09-02,593
26371,30651,2013-10-08,2015-06-24,1224
44061,156781,2015-08-21,2015-11-16,1278
26200,183092,2014-10-09,2015-10-23,826
60047,74355,2015-04-30,2015-08-21,1013
39622,167047,2015-03-21,2015-04-24,938
61961,133281,2015-03-27,2015-03-27,1634
39528,162975,2014-12-13,2015-04-30,1052
58887,95332,2015-06-20,2015-08-02,766
65707,169287,2015-01-11,2015-08-19,900
20393,150799,2014-02-11,2015-06-14,917
52593,131257,2015-01-31,2015-11-10,847
38729,182404,2015-06-19,2015-06-21,822
67272,62884,2015-05-22,2015-11-06,1676
45211,68130,2015-03-07,2015-07-31,1332
72546,147230,2014-11-29,2015-03-07,1242
73125,176342,2014-11-10,2015-02-16,1253
46660,147104,2015-07-23,2015-11-15,1056
37670,137420,2014-10-13,2015-08-13,1304
21917,103431,2015-01-26,2015-04-08,727
7103,115527,2015-01-14,2015-05-14,651
57885,135813,2014-11-05,2015-10-09,723
75851,76397,2015-04-03,2015-10-26,1125
51402,54878,2015-02-15,2015-02-28,1269
56550,171051,2015-01-18,2015-09-12,760
28530,116042,2014-09-29,2015-06-07,694
42229,61913,2015-07-11,2015-10-03,1355
48186,126134,2014-04-01,2015-06-09,868
39524,222401,2015-02-16,2015-11-08,842
49473,45257,2014-01-23,2015-09-20,1149
74398,-5476,2014-05-25,2015-06-02,1126
48714,54745,2014-12-25,2015-06-20,986
75015,94536,2014-12-07,2015-05-31,1017
45606,98787,2015-07-01,2015-10-24,1386
61742,7390,2014-12-02,2015-08-12,1133
75521,99391,2014-09-30,2015-02-24,1095
43346,113727,2014-08-10,2015-10-22,736
48948,124870,2012-07-29,2015-08-22,1277
46325,22769,2013-08-22,2015-11-06,1536
77660,52935,2014-12-14,2015-09-19,891
57167,109449,2014-11-08,2015-02-12,898
52539,59032,2015-05-14,2015-07-06,1346
78858,194996,2015-03-06,2015-09-07,1087
15967,83636,2014-01-07,2015-11-17,709
-5446,74254,2014-08-08,2015-03-05,711
56212,68153,2015-03-10,2015-04-22,491
23434,70097,2015-07-03,2015-09-24,678
31163,51776,2015-10-18,2015-10-18,1052
69447,88739,2014-01-01,2015-07-21,925
66618,22826,2013-02-06,2015-09-04,718
26261,153054,2015-03-11,2015-05-01,1247
44453,109002,2012-04-23,2015-02-06,1025
36592,119647,2015-04-08,2015-04-21,879
59443,101683,2014-09-27,2015-09-02,740
40099,77489,2015-01-31,2015-04-03,1387
51191,45636,2014-10-19,2015-01-11,1425
66578,117512,2013-02-06,2015-07-04,686
31920,153685,2014-04-27,2015-07-10,784
58589,98831,2014-10-20,2015-04-25,908
58003,61399,2015-03-01,2015-09-16,1236
76472,92759,2013-05-11,2015-03-04,840
35015,178942,2012-04-21,2015-10-28,1117
55293,104029,2015-06-03,2015-06-05,999
80919,105634,2015-08-02,2015-10-13,678
54829,153900,2014-01-20,2015-03-14,1322
10997,112060,2014-04-12,2015-04-04,703
43468,158205,2015-06-10,2015-10-27,767
13968,124043,2014-09-04,2015-07-11,1054
75645,75172,2014-09-12,2015-08-19,738
31599,182047,2015-07-23,2015-07-23,1129
33466,186259,2015-01-30,2015-10-02,1042
42091,111559,2015-04-08,2015-06-19,408
27107,117313,2014-10-11,2015-01-09,696
55291,79837,2014-11-26,2015-04-07,1038
40612,111041,2015-06-16,2015-06-28,1384
58629,74366,2014-03-23,2015-10-04,780
41743,100069,2014-07-13,2015-05-05,824
51305,119794,2014-05-25,2015-02-02,916
490,109049,2014-01-29,2015-03-13,788
60843,117625,2014-12-12,2015-08-27,1155
41045,15193,2014-04-16,2015-08-15,1547
46612,155212,2014-09-18,2015-09-07,421
45632,194239,2014-03-01,2015-01-13,909
33582,116039,2014-03-09,2015-04-01,694
45491,82930,2014-12-10,2015-05-29,926
30481,77727,2013-06-03,2015-09-04,696
80674,87546,2014-09-04,2015-11-03,1157
64476,122765,2015-03-06,2015-06-22,979
107274,120453,2015-06-04,2015-06-12,1024
35264,51880,2015-03-01,2015-08-08,551
66851,103052,2013-11-05,2015-04-08,1053
41367,144363,2014-05-23,2015-04-15,1086
33149,196884,2014-06-28,2015-06-24,1045
47821,69012,2015-06-11,2015-06-30,1112
25738,198055,2013-04-10,2015-09-24,614
38336,73762,2014-06-20,2015-10-24,1397
47083,130991,2015-04-22,2015-08-31,1338
81286,99022,2015-06-06,2015-11-01,993
31750,159144,2015-05-02,2015-05-06,1104
64603,126313,2014-10-14,2015-06-12,1175
29391,112823,2014-08-10,2015-05-22,726
24802,148991,2014-09-27,2015-02-06,1191
75723,136924,2014-11-08,2015-10-10,632
57818,114688,2014-11-22,2015-04-12,807
62138,184090,2015-02-09,2015-11-19,865
38303,54325,2014-05-15,2015-05-01,959
49535,38978,2013-10-08,2015-07-17,1000
51464,143767,2012-10-31,2015-02-14,818
19056,108166,2014-06-17,2015-07-07,829
79556,89170,2014-11-07,2015-04-22,1200
54993,98530,2015-02-01,2015-04-04,360
29482,48858,2015-03-23,2015-10-30,631
58307,108841,2014-11-14,2015-10-19,1446
95590,42116,2014-05-19,2015-08-31,1070
68507,96728,2014-08-16,2015-10-16,875
64208,105319,2015-04-26,2015-04-27,904
64154,41919,2015-05-12,2015-09-06,688
47278,219120,2015-02-21,2015-08-17,1547
56605,122610,2015-09-13,2015-10-15,1045
42581,145696,2015-09-02,2015-10-17,757
31674,119144,2015-09-29,2015-10-06,1062
17304,152106,2015-07-02,2015-07-26,1302
53019,132045,2015-04-26,2015-05-23,592
52738,36073,2015-07-20,2015-11-04,869
31950,32320,2015-11-08,2015-11-08,1079
36163,64041,2014-10-26,2015-10-03,733
57394,91100,2015-02-20,2015-05-18,1000
55814,113789,2015-02-03,2015-04-30,1421
50605,-3478,2015-08-08,2015-08-09,805
17310,105340,2013-06-11,2015-05-14,698
31269,124017,2013-05-13,2015-09-23,1242
16036,151179,2015-05-13,2015-09-27,1489
81320,129106,2013-12-09,2015-09-12,1122
39216,131790,2013-07-10,2015-01-22,1102
85767,80049,2014-07-17,2015-07-24,899
33256,93705,2013-02-21,2015-03-05,924
33148,100288,2013-04-11,2015-09-19,772
49285,110658,2015-03-06,2015-10-16,58
41020,176266,2015-04-17,2015-04-17,1093
27047,115176,2013-10-31,2015-05-29,662
45733,150270,2015-09-08,2015-11-17,1036
46054,23842,2012-05-30,2015-01-15,765
34412,110583,2015-07-23,2015-11-20,903
22049,196869,2012-12-29,2015-03-08,805
32567,196856,2015-04-18,2015-05-01,1189
43556,138443,2014-02-20,2015-01-09,982
6502,139221,2014-02-23,2015-11-05,1000
55896,65075,2015-06-06,2015-07-09,1203
59568,166073,2015-09-08,2015-09-09,693
34739,113034,2014-09-14,2015-10-03,1188
46711,79845,2014-01-31,2015-04-11,1073
68725,18744,2014-12-25,2015-09-28,1080
62113,100590,2015-11-14,2015-11-14,1047
39911,110473,2015-11-06,2015-11-11,834
62684,117144,2013-07-10,2015-08-07,1035
60027,98112,2013-04-21,2015-07-08,1001
34122,127024,2014-04-18,2015-03-03,616
50177,106300,2015-03-31,2015-09-22,798
40623,42548,2015-03-30,2015-04-12,1105
